Timestamp,pres,temp1,umid,temp2,V450,B500,G550,Y570,O600,R650,temps1,temps2,lumina
1/23/2022 5:00,992.781.604,1.294.427.083,5.823.181.152,1.275.052.083,6.387.384.113,3.607.788.388,3.485.147.111,3.728.084.882,6.074.384.037,5.460.814.595,1.294.427.083,1.275.052.083,2.874.360.313
1/23/2022 6:00,9.930.355.042,1.307.135.417,5.799.743.652,1.288.229.167,6.646.618.698,3.747.865.047,3.605.478.503,3.866.082.172,631.698.158,5.686.563.417,1.307.135.417,1.288.229.167,2.986.958.942
1/23/2022 7:00,9.932.894.043,131.984.375,5.776.306.152,130.140.625,6.905.853.284,3.887.941.706,3.725.809.896,4.004.079.461,6.559.579.122,5.912.312.239,131.984.375,130.140.625,3.099.557.571
1/23/2022 8:00,9.935.433.045,1.332.552.083,5.752.868.652,1.314.583.333,7.165.087.869,4.028.018.365,3.846.141.289,4.142.076.751,6.802.176.664,6.138.061.062,1.332.552.083,1.314.583.333,32.121.562
1/23/2022 9:00,9.937.972.046,1.345.260.417,5.729.431.152,1.327.760.417,7.424.322.454,4.168.095.024,3.966.472.681,428.007.404,7.044.774.206,6.363.809.884,1.345.260.417,1.327.760.417,3.324.754.829
1/23/2022 10:00,9.940.511.048,135.796.875,5.705.993.652,13.409.375,768.355.704,4.308.171.684,4.086.804.074,441.807.133,7.287.371.748,6.589.558.706,135.796.875,13.409.375,3.437.353.458
1/23/2022 11:00,9.943.050.049,1.370.677.083,5.682.556.152,1.354.114.583,7.942.791.625,4.448.248.343,4.207.135.467,4.556.068.619,7.529.969.291,6.815.307.528,1.370.677.083,1.354.114.583,3.549.952.087
1/23/2022 12:00,9.945.589.051,1.383.385.417,5.659.118.652,1.367.291.667,8.202.026.211,4.588.325.002,4.327.466.859,4.694.065.909,7.772.566.833,704.105.635,1.383.385.417,1.367.291.667,3.662.550.716
1/23/2022 13:00,9.948.128.052,139.609.375,5.635.681.152,138.046.875,8.461.260.796,4.728.401.661,4.447.798.252,4.832.063.198,8.015.164.375,7.266.805.172,139.609.375,138.046.875,3.775.149.345
1/23/2022 14:00,9.952.542.725,124.140.625,5.522.460.938,1.259.375,9.451.583.862,907.566.452,7.492.982.388,752.766.037,9.030.860.901,8.657.856.941,124.140.625,1.259.375,5.123.660.898
1/23/2022 15:00,9.961.813.354,147.890.625,5.960.693.359,175.546.875,4.767.055.511,4.348.891.735,3.405.780.554,3.390.095.472,4.061.556.816,3.999.559.402,147.890.625,175.546.875,2.397.293.949
1/23/2022 16:00,9.977.426.758,132.421.875,6.080.627.441,141.796.875,1.842.601.299,1.658.116.698,1.165.309.787,1.122.969.151,1.268.393.159,1.339.317.918,132.421.875,141.796.875,8.396.708.012
1/23/2022 17:00,9.990.840.454,122.890.625,6.307.067.871,129.609.375,9.002.937,6.515.194,3.977.167,353.135,3.680.057,5.748.145,122.890.625,129.609.375,3.245.485
1/23/2022 18:00,1.000.238.464,1.190.625,6.308.898.926,124.921.875,0,0,0,0,0,0,1.190.625,124.921.875,0
1/23/2022 19:00,1.000.855.774,111.953.125,632.232.666,114.765.625,0,0,0,0,0,0,111.953.125,114.765.625,0
1/23/2022 20:00,1.001.596.924,11.1875,6.310.119.629,1.146.875,0,0,0,0,0,0,11.1875,1.146.875,0
1/23/2022 21:00,1.002.260.132,1.090.625,6.421.813.965,10.9375,0,0,0,0,0,0,1.090.625,10.9375,0
1/23/2022 22:00,1.002.830.688,10.953.125,6.441.650.391,1.121.875,0,0,0,0,0,0,10.953.125,1.121.875,0
1/23/2022 23:00,1.003.106.689,105.234.375,6.474.609.375,10.703.125,0,0,0,0,0,0,105.234.375,10.703.125,0
1/24/2022 0:00,1.003.386.169,106.953.125,6.482.543.945,107.265.625,0,0,0,0,0,0,106.953.125,107.265.625,0
1/24/2022 1:00,1.003.852.356,10.375,6.499.938.965,1.059.375,0,0,0,0,0,0,10.375,1.059.375,0
1/24/2022 2:00,1.004.225.952,10.5625,6.505.737.305,105.078.125,0,0,0,0,0,0,10.5625,105.078.125,0
1/24/2022 3:00,1.004.542.175,102.734.375,6.557.312.012,10.5,0,0,0,0,0,0,102.734.375,10.5,0
1/24/2022 4:00,1.005.118.225,1.040.625,6.481.933.594,104.453.125,0,0,0,0,0,0,1.040.625,104.453.125,0
1/24/2022 5:00,1.005.643.494,101.953.125,6.538.696.289,104.921.875,0,0,0,0,0,0,101.953.125,104.921.875,0
1/24/2022 6:00,1.006.133.728,101.953.125,6.559.448.242,102.578.125,0,0,0,0,0,0,101.953.125,102.578.125,0
1/24/2022 7:00,1.006.683.594,100.859.375,6.538.085.938,103.515.625,3.000.979,1.628.798,1.325.722,1.177.117,1.226.686,1.149.629,100.859.375,103.515.625,9.508.931
1/24/2022 8:00,1.006.913.879,98.828.125,6.580.810.547,100.859.375,1.084.854.007,931.672.692,657.558.203,610.923.469,715.157.807,740.361.154,98.828.125,100.859.375,4.740.527.332
1/24/2022 9:00,1.007.269.592,1.015.625,6.404.418.945,104.765.625,5.493.292.332,5.405.981.541,4.480.941.296,4.371.810.913,5.327.496.052,5.215.867.043,1.015.625,104.765.625,3.029.538.918
1/24/2022 10:00,1.007.415.527,99.765.625,6.196.594.238,9.9375,12.006.917,1.086.245.632,8.947.299.004,8.665.931.702,1.043.173.599,933.498.764,99.765.625,9.9375,6.024.932.766
1/24/2022 11:00,1.007.482.239,105.546.875,5.712.280.273,104.609.375,2.423.140.717,2.169.396.591,1.983.413.124,189.539.299,2.431.045.914,1.984.719.658,105.546.875,104.609.375,1.288.710.899
1/24/2022 12:00,1.007.006.714,107.265.625,5.257.873.535,1.046.875,1.180.103.378,8.056.752.777,8.755.175.018,9.123.358.154,1.126.355.362,9.882.559.204,107.265.625,1.046.875,5.888.243.255
1/24/2022 13:00,1.006.774.475,10.828.125,5.117.797.852,10.453.125,1.296.935.425,1.242.628.555,8.268.424.225,1.024.328.003,1.064.335.175,170.560.318,10.828.125,10.453.125,716.067.276
1/24/2022 14:00,1.006.772.888,108.984.375,5.577.697.754,10.9375,9.600.132.942,7.904.558.659,5.744.354.725,57.502.141,6.711.197.853,6.355.149.269,108.984.375,10.9375,4.206.560.755
1/24/2022 15:00,1.007.189.514,105.078.125,6.006.469.727,104.453.125,6.198.522.091,5.143.745.422,3.582.101.345,352.546.382,387.755.394,3.625.930.309,105.078.125,104.453.125,2.595.331.693
1/24/2022 16:00,1.007.127.909,11.484.375,6.382.344.564,1.143.489.583,4.229.879.876,3.542.093.644,2.579.413.474,2.563.367.308,2.802.159.349,2.569.037.914,11.484.375,1.143.489.583,1.828.595.156
1/24/2022 17:00,1.007.066.305,124.609.375,6.758.219.401,1.242.447.917,2.261.237.661,1.940.441.867,1.576.725.602,1.601.270.795,1.726.764.758,1.512.145.519,124.609.375,1.242.447.917,106.185.862
1/24/2022 18:00,10.070.047,134.375,7.134.094.238,134.140.625,292.595.446,338.790.089,574.037.731,639.174.283,651.370.168,455.253.124,134.375,134.140.625,295.122.084
1/24/2022 19:00,1.006.778.809,-6.796.875,8.466.796.875,-95.234.375,0,0,0,0,0,0,-6.796.875,-95.234.375,0
1/24/2022 20:00,1.006.843.994,-68.046.875,8.592.224.121,-90.234.375,0,0,0,0,0,0,-68.046.875,-90.234.375,0
1/24/2022 21:00,1.006.419.434,-7.078.125,8.693.847.656,-965.625,0,0,0,0,0,0,-7.078.125,-965.625,0
